date,url quantity,rua geraldo barbosa,avenida dos expedicionarios,rua joao carvalho,avenida conselheiro lafaiete,tunel da avenida rogaciano leite,avenida washington soares,avenida alberto sa,avenida heraclito graca,avenida jose bastos,avenida desembargador moreira,urls
2021-03-01 00:00:00,12,0,0,0,0,0,0,0,0,4,0,"['https://g1.globo.com/ce/ceara/noticia/2021/03/01/ruas-e-avenidas-de-fortaleza-amanhecem-alagadas-apos-chuva-nesta-segunda-feira-veja-os-trechos.ghtml', 'https://diariodonordeste.verdesmares.com.br/metro/fortaleza-amanhece-com-chuva-e-ruas-alagadas-nesta-segunda-feira-1-1.3053661', 'https://globoplay.globo.com/v/9311097/', 'https://globoplay.globo.com/v/9311098/', 'https://www.youtube.com/watch?v=N1xhgLMOQsQ', 'https://www.opovo.com.br/noticias/fortaleza/2021/03/01/chuvas-desta-segunda-alagam-beira-mar-e-acumulam-lixo-em-fortaleza.html', 'https://gcmais.com.br/noticias/fortaleza/2021/03/01/avenida-beira-mar-passa-por-servico-de-desobstrucao-apos-alagamento/', 'https://ootimista.com.br/panorama/fortaleza-registra-pontos-de-alagamento-apos-inicio-de-manha-com-chuva-intensa/', 'https://www.frissononline.com.br/noticias/154103/beira_mar_e_pontos_de_fortaleza_amanhecem_alagados_nesta_segunda-feira', 'https://www.folhape.com.br/noticias/recife-registra-esperado-para-10-dias-de-chuvas-em-seis-horas/174467/', 'https://pagina3.com.br/cidade/chuva-forte-com-alto-volume-de-agua-alaga-ruas-em-balneario-camboriu/', 'https://previsaodotempo.net.br/vai-chover-amanha/breu-branco-pa']"
2021-03-02 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://camboriu.news/forte-chuva-causa-alagamentos-em-diversos-pontos-de-balneario-camboriu/']
2021-03-03 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.climatempo.com.br/noticia/2021/03/03/balanco-da-chuva-de-fevereiro-de-2021-nas-capitais-brasileiras-8363', 'https://previsaodotempo.net.br/vai-chover-amanha/abaetetuba-pa']"
2021-03-04 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://issuu.com/jacquesrutman/docs/anu_rio_gbc_brasil_2020_digital', 'https://issuu.com/navegandopublicacoes/docs/ebook_completo_com_hiperlinks-enviado_27-02-2021']"
2021-03-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-06 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.jornalopcao.com.br/image-sitemap-27.xml']
2021-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.agazeta.com.br/es/cotidiano/chuva-forte-ja-causa-pontos-de-alagamento-na-grande-vitoria-0321']
2021-03-10 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://tglsimpsons.wordpress.com/category/pagina-do-sitio/']
2021-03-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-13 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://diariodonordeste.verdesmares.com.br/regiao/regiao-sul-do-ceara-registra-maiores-chuvas-em-24h-juazeiro-tem-alagamentos-1.3059746']
2021-03-14 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://diariodonordeste.verdesmares.com.br/regiao/rodovia-tem-trecho-alagado-e-formacao-de-rachaduras-apos-chuvas-em-milagres-1.3060002']
2021-03-15 00:00:00,2,0,0,0,0,0,0,0,0,1,0,"['https://g1.globo.com/ce/ceara/noticia/2021/03/15/grande-fortaleza-tem-chuva-forte-e-vias-alagadas.ghtml', 'https://issuu.com/febrace/docs/anais_febrace2021_v4']"
2021-03-16 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.emsonho.com/sonhar-com-estrada-montanhosa.html', 'https://seguroparacarro.com.br/teresopolis/']"
2021-03-17 00:00:00,3,0,0,0,0,0,0,1,1,0,0,"['https://g1.globo.com/ce/ceara/noticia/2021/03/17/chuva-forte-com-raios-e-trovoes-causa-alagamentos-quedas-de-arvores-e-engarrafamentos-em-fortaleza.ghtml', 'https://alvoradainforma.com.br/chuva-de-15-minutos-foi-suficiente-para-alagar-avenidas-de-nova-alvorada-do-sul/', 'https://www.manaus.am.gov.br/noticia-tag/clinica-da-familia-raimundo-franco-de-sa/']"
2021-03-18 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://portalodia.com/noticias/teresina/teresina-registra-81-milimetros-de-chuva-em-24-horas-383065.html']
2021-03-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://jovempan.com.br/noticias/brasil/fortes-chuvas-causam-alagamentos-prejuizos-ao-transito-e-acidente-em-sao-paulo.html']
2021-03-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-23 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.blumenau.sc.gov.br/secretarias/secretaria-de-defesa-do-cidadao/sedeci/defesa-civil-registra-vaarias-ocorraancias-por-conta-do-temporal-em-blumenau30', 'https://portalararasdenoticias.com.br/corpo-de-motorista-de-aplicativo-e-encontrado-dentro-de-porta-malas-de-carro-abandonado-no-nova-cidade-em-manaus/']"
2021-03-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-03-26 00:00:00,11,0,0,0,0,0,1,0,3,0,1,"['https://g1.globo.com/ce/ceara/noticia/2021/03/26/chuva-desde-a-madrugada-deixa-ruas-alagadas-e-causa-queda-de-arvore-em-fortaleza.ghtml', 'https://www.opovo.com.br/noticias/fortaleza/2021/03/26/alagamentos-geram-transtornos-apos-chuvas-intensas-na-capital.html', 'https://www.opovo.com.br/noticias/fortaleza/2021/03/26/video---fortaleza-tem-alagamentos-nesta-sexta-feira-de-chuva.html', 'https://diariodonordeste.verdesmares.com.br/metro/chuva-em-fortaleza-e-a-maior-de-2021-acumulado-e-de-1211-mm-1.3065209', 'https://gcmais.com.br/noticias/fortaleza/2021/03/26/maior-chuva-de-2021-provoca-alagamentos-em-fortaleza-e-regiao-metropolitana-confira-imagens/', 'https://siaranews.com.br/fortaleza-tem-maior-chuva-do-ano-com-ruas-alegadas-e-arvores-caidas/', 'https://www.tempo.com/hoje/fortaleza.htm', 'https://www.tempo.com/hoje/fortaleza.htm', 'https://pt.wikipedia.org/wiki/Geografia_de_Fortaleza', 'https://cearaagora.com.br/forte-chuva-deixa-pontos-de-alagamento-e-transito-caotico-em-fortaleza/', 'https://www.climatempo.com.br/noticia/2021/03/26/atencao-para-chuva-forte-no-ma-pi-ce-e-rn-8726']"
2021-03-27 00:00:00,2,0,0,0,0,0,0,0,1,0,0,"['https://mais.opovo.com.br/jornal/cidades/2021/03/27/fortaleza-tem-dia-de-chuva--clima-bom-e-alagamentos.html', 'https://diariodonordeste.verdesmares.com.br/opiniao/colunistas/egidio-serpa/do-sonho-de-lauro-fiuza-na-espanha-a-offshore-de-caucaia-1.3065720']"
2021-03-28 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.miseria.com.br/ultimas-noticias/regiao/obra-da-prefeitura-de-fortaleza-realizada-pelo-consorcio-coral-lumali-muda-realidade-do-viaduto-do-makro/']
2021-03-29 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://24h.com.br/parana/londrina/temporal-faz-lago-igapo-transportar-e-causa-alagamentos-em-londrina/', 'https://www.mg.superesportes.com.br/app/noticias/futebol-feminino/2021/03/29/noticia_futebol_feminino,3908950/ex-jogadora-do-cruzeiro-tem-casa-destruida-e-cria-vaquinha-on-line.shtml']"
2021-03-30 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/30/chuva-temporal-rio-de-janeiro-alagamento-estagio-de-mobilizacao.htm']
2021-03-31 00:00:00,3,0,0,0,0,0,0,0,1,0,0,"['https://g1.globo.com/ce/ceara/noticia/2021/03/31/fortaleza-tem-manha-de-chuva-forte-e-alagamentos-video.ghtml', 'https://www.opovo.com.br/noticias/ceara/2021/03/31/ceara-amanhece-com-chuvas-e-capital-registra-pontos-de-alagamento.html', 'https://issuu.com/furlanj/docs/diagramacao_ed_75-web']"
2021-04-01 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.academia.edu/44899676/A%C3%87%C3%95ES_PREVENTIVAS_DE_CONSERVA%C3%87%C3%83O_NO_ACERVO_DO_CRTV_GERENCIAMENTO_DE_RISCOS_APLICADO_%C3%80_CONSERVA%C3%87%C3%83O_PREVENTIVA_DO_MUSEU_DOM_JO%C3%83O_VI']
2021-04-02 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://microinversor.com.br/imposto-sobre-operacoes-energeticas-substitui-sol-brasileiro-pelo-gas-boliviano/']
2021-04-03 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://valdezemelo.com.br/coberturas-de-seguros.html']
2021-04-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-07 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.manaus.am.gov.br/noticia-tag/espaco-de-atendimento-multidisciplinar-ao-autista-amigo-ruy/']
2021-04-08 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://vozdabahia.com.br/apos-chuva-forte-em-salvador-bombeiros-usam-barcos-para-retirar-moradores-de-casas-no-bairro-da-paz-veja/', 'https://fortenanoticia.com.br/chuva-invade-casas-deixa-pessoas-ilhadas-e-provoca-danos-em-salvador-e-rms/', 'https://laurojornal.com.br/acoes-preventivas-evitam-ocorrencias-causadas-pelas-fortes-chuvas-em-lauro-de-freitas/']"
2021-04-09 00:00:00,2,0,0,0,0,0,0,0,1,0,0,"['https://www.climatempo.com.br/noticia/2021/04/09/risco-de-chuva-forte-no-nordeste-norte-e-centro-oeste-9004', 'https://repositorio.unichristus.edu.br/jspui/browse?type=author&value=ABDALA+NETO%2C+Eliezer+Fares']"
2021-04-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-11 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://www.opovo.com.br/noticias/brasil/2021/04/11/em-recife--chove-o-equivalente-a-25--do-previsto-para-abril-nas-ultimas-24-horas.html', 'https://www.folhape.com.br/noticias/recife-amanhece-com-ruas-alagadas-neste-domingo-11-apos-chuva-forte/179652/', 'https://www.tnh1.com.br/noticia/nid/defesa-civil-de-maceio-registra-16-deslizamentos-de-barreira-apos-chuvas-intensas/']"
2021-04-12 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.calameo.com/books/00289932790e644d06c24']
2021-04-13 00:00:00,5,0,0,0,0,0,0,0,1,0,0,"['https://g1.globo.com/ce/ceara/noticia/2021/04/13/chuva-invade-casas-alaga-ruas-e-deixa-moradores-ilhados-em-iguatu-no-ceara.ghtml', 'https://diariodonordeste.verdesmares.com.br/regiao/ceara-tem-chuva-em-mais-de-80-municipios-em-24-horas-1.3072470', 'https://www.opovo.com.br/noticias/fortaleza/2021/04/13/rua-proxima-ao-riacho-onde-fortaleza--nasceu--fica-alagada-no-aniversario-da-capital.html', 'https://nordestenoticia.com.br/2021/04/iguatu-ce-chuva-invade-casas-alaga-ruas-e-deixa-moradores-ilhados/', 'https://brasilagora.org/2021/04/13/a-formula-alertara-os-municipios-de-alagoas-para-alagamentos-em-munda/']"
2021-04-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-15 00:00:00,4,0,0,0,0,0,0,0,0,0,0,"['https://www.opovo.com.br/noticias/ceara/2021/04/15/ruas-e-casas-ficam-alagadas-em-iguatu-e-moradores-denunciam-falta-de-infraestrutura.html', 'https://diariodonordeste.verdesmares.com.br/regiao/apos-terem-casas-alagadas-moradores-de-iguatu-protestam-por-obra-de-drenagem-1.3073523', 'https://www.tnh1.com.br/noticia/nid/ruas-de-japaratinga-sao-atingidas-pela-forte-chuva-e-ficam-alagadas-veja-videos/', 'https://www.tnh1.com.br/noticia/nid/ruas-de-japaratinga-sao-atingidas-pela-forte-chuva-e-ficam-alagadas-veja-videos/']"
2021-04-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-17 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.climatempo.com.br/noticia/2021/04/17/chuva-aumenta-no-nordeste-nos-proximos-dias-9188']
2021-04-18 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://diariodonordeste.verdesmares.com.br/regiao/400-familias-tiveram-casas-atingidas-por-cheia-de-lagoa-em-iguatu-1.3074836', 'https://www.tudodegeografia.com/2021/04/']"
2021-04-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-20 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://vozdabahia.com.br/saj-liberamos-a-rua-com-a-presenca-da-imprensa-e-prefeito-dizem-moradores-do-cajueiro-e-viriato-lobo/']
2021-04-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-22 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.manaus.am.gov.br/noticia-tag/empresas-j-nasser-engenharia-ltda-e-construtora-soma-ltda/']
2021-04-23 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://rnb.tv.br/noticia/1392/hospital-municipal-de-parauapebas-esta-tendo-falta-de-energia-eletrica-agora-a-noite']
2021-04-24 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://infosaj.com.br/no-vale-do-jiqurica-fortes-chuvas-causam-estragos-em-santa-ines-em-ubaira-as-ruas-ficaram-alagadas-e-uma-ponte-foi-destruida-pela-forca-da-agua-veja/', 'https://www.manaus.am.gov.br/noticia-tag/bola-do-armando-mendes/']"
2021-04-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-04-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
