date,url quantity,rua geraldo barbosa,avenida dos expedicionarios,rua joao carvalho,avenida conselheiro lafaiete,tunel da avenida rogaciano leite,avenida washington soares,avenida alberto sa,avenida heraclito graca,avenida jose bastos,avenida desembargador moreira,urls
2021-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-03 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://issuu.com/mctic/docs/quarta_comunicacao_nacional_brasil_unfccc', 'https://www.facebook.com/radiotupi/videos/show-do-heleno-rotay-03012021/728037404518973/', 'https://www.facebook.com/radiotupi/videos/show-do-heleno-rotay-03012021/728037404518973/']"
2021-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-05 00:00:00,4,0,0,0,0,0,0,0,0,0,0,"['https://globoplay.globo.com/v/9153913/', 'https://globoplay.globo.com/v/9153913/', 'https://www.climatempo.com.br/noticia/2021/01/05/chuva-cai-forte-em-muitas-areas-do-brasil-hoje-7198', 'https://issuu.com/teresina2030/docs/_pt__draft_-city_resilience_profile__teresina__pag']"
2021-01-06 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://issuu.com/pesquisafapesp/docs/pesquisa_299']
2021-01-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-08 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.avozdosmunicipios.com.br/florianopolis-sc', 'https://www.climatempo.com.br/noticia/2021/01/08/fortes-pancadas-de-chuva-em-quase-todo-o-pais-nesta-sexta-7243']"
2021-01-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.jornalopcao.com.br/ultimas-noticias/apos-forte-chuva-prefeitura-de-goiania-efetua-reparos-na-cidade-305838/']
2021-01-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-11 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://tvprefeito.com/a-chuva-deste-domingo-alagou-tambem-a-rua-do-posto-de-saude-do-km-40-em-seropedica/']
2021-01-12 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.academia.edu/44854895/ANAIS_DO_VIII_SIMP%C3%93SIO_INTERNACIONAL_DE_CLIMATOLOGIA']
2021-01-13 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://issuu.com/edufrb/docs/politicas_publicas_e_veredas_da_cidadania']
2021-01-14 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://www.agazeta.com.br/es/cotidiano/chuva-rapida-alaga-ruas-de-muniz-freire-0121', 'https://noticias.r7.com/sao-paulo/parte-de-casa-desmorona-durante-chuva-na-zona-norte-de-sp-14012021', 'https://xdocs.com.br/doc/lobisomem-compendium-10-nao-oficial-d8m3m4l6zpop']"
2021-01-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-16 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://plox.com.br/noticia/16/01/2021/temporal-causa-estragos-e-alagamentos-em-belo-horizonte', 'https://agroclima.climatempo.com.br/previsao-do-tempo/15-dias/cidade/3830/lagoaformosa-mg/', 'https://agroclima.climatempo.com.br/previsao-do-tempo/15-dias/cidade/1097/patrocinio-mg/']"
2021-01-17 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://agroclima.climatempo.com.br/previsao-do-tempo/15-dias/cidade/5613/boavistadoincra-rs/', 'https://www.academia.edu/44498603/ECOLOGIA_M%C3%89DICA_2a_edi%C3%A7%C3%A3o']"
2021-01-18 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://agroclima.climatempo.com.br/previsao-do-tempo/15-dias/cidade/2797/serradosalitre-mg/', 'https://tglsimpsons.wordpress.com/2021/01/']"
2021-01-19 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://g1.globo.com/ce/ceara/noticia/2021/01/19/fortaleza-registra-pontos-de-alagamento-apos-chuvas-nesta-terca-feira-video.ghtml']
2021-01-20 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.badalo.com.br/featured/crato-e-outras-dez-cidades-do-cariri-recebem-alerta-do-inmete-para-perigo-de-chuvas-intensas-e-rajadas-de-vento/']
2021-01-21 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.nsctotal.com.br/noticias/alagamentos-deslizamentos-e-enchentes-chuva-deixa-blumenau-e-regiao-em-alerta']
2021-01-22 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://www.bombeiros.ce.gov.br/2021/01/22/corpo-de-bombeiros-divulga-orientacoes-para-o-periodo-de-chuvas/']
2021-01-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-01-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
